Age,Food_Type,Dish,Spice_Level,Time,Rating
32,Veg Meals,Curd Rice,Low,Afternoon,4
32,Pizza,Chicken Pizza,Low,Evening,5
72,Pizza,Cheese Pizza,Low,Evening,4
52,Pizza,Chicken Pizza,Spicy,Night,2
32,Breakfast,Poori,Spicy,Morning,4
28,Biryani,Veg Biryani,Spicy,Afternoon,4
32,Dessert,Cake,Low,Night,4
56,Dessert,Brownie,Low,Evening,5
62,Dessert,Brownie,Low,Night,3
34,Biryani,Mutton Biryani,Medium,Night,5
23,Shawarma,Paneer Shawarma,Low,Evening,4
53,Veg Meals,Veg Meals,Low,Afternoon,4
23,Shawarma,Chicken Shawarma,Spicy,Evening,2
72,Breakfast,Poori,Medium,Morning,2
72,Shawarma,Chicken Shawarma,Medium,Evening,2
35,Shawarma,Paneer Shawarma,Medium,Evening,4
61,Veg Meals,Curd Rice,Low,Afternoon,4
53,Veg Meals,Veg Meals,Spicy,Afternoon,5
67,Pizza,Cheese Pizza,Low,Night,5
10,Dessert,Cake,Low,Evening,2
33,Shawarma,Paneer Shawarma,Spicy,Evening,4
59,Breakfast,Pongal,Medium,Morning,4
64,Shawarma,Chicken Shawarma,Medium,Night,4
53,Dessert,Brownie,Low,Night,2
65,Biryani,Mutton Biryani,Spicy,Afternoon,4
15,Dessert,Ice Cream,Low,Evening,3
19,Dessert,Brownie,Low,Evening,3
40,Veg Meals,Veg Meals,Spicy,Afternoon,3
71,Veg Meals,Sambar Rice,Medium,Afternoon,4
51,Dessert,Cake,Low,Evening,4
17,Breakfast,Vada,Medium,Morning,3
66,Veg Meals,Curd Rice,Medium,Afternoon,4
17,Breakfast,Poori,Medium,Morning,4
19,Biryani,Chicken Biryani,Spicy,Afternoon,3
61,Veg Meals,Veg Meals,Low,Afternoon,2
20,Breakfast,Poori,Medium,Morning,2
65,Pizza,Chicken Pizza,Low,Evening,4
70,Dessert,Ice Cream,Low,Night,5
54,Breakfast,Pongal,Spicy,Morning,5
73,Veg Meals,Veg Meals,Spicy,Afternoon,4
42,Pizza,Veg Pizza,Low,Night,2
60,Veg Meals,Curd Rice,Medium,Afternoon,4
37,Veg Meals,Sambar Rice,Spicy,Afternoon,4
20,Breakfast,Poori,Medium,Morning,2
40,Dessert,Brownie,Low,Evening,4
53,Shawarma,Chicken Shawarma,Medium,Evening,4
59,Shawarma,Paneer Shawarma,Medium,Night,2
65,Biryani,Chicken Biryani,Low,Night,4
31,Veg Meals,Veg Meals,Low,Afternoon,3
18,Shawarma,Paneer Shawarma,Medium,Night,2
73,Biryani,Mutton Biryani,Medium,Night,5
70,Biryani,Veg Biryani,Medium,Afternoon,3
65,Dessert,Cake,Low,Night,5
36,Breakfast,Dosa,Medium,Morning,3
13,Veg Meals,Veg Meals,Spicy,Afternoon,5
40,Dessert,Cake,Low,Evening,5
51,Biryani,Chicken Biryani,Spicy,Afternoon,2
45,Veg Meals,Veg Meals,Low,Afternoon,4
29,Biryani,Mutton Biryani,Spicy,Night,2
16,Biryani,Chicken Biryani,Low,Afternoon,5
68,Dessert,Brownie,Low,Night,2
14,Breakfast,Dosa,Low,Morning,4
21,Pizza,Veg Pizza,Medium,Evening,5
28,Veg Meals,Curd Rice,Low,Afternoon,5
66,Breakfast,Poori,Low,Morning,2
70,Veg Meals,Sambar Rice,Spicy,Afternoon,5
53,Dessert,Cake,Low,Evening,2
21,Breakfast,Pongal,Low,Morning,2
18,Pizza,Veg Pizza,Low,Night,4
67,Breakfast,Dosa,Low,Morning,2
73,Pizza,Cheese Pizza,Spicy,Night,5
40,Breakfast,Dosa,Medium,Morning,2
72,Dessert,Ice Cream,Low,Evening,2
43,Veg Meals,Sambar Rice,Low,Afternoon,2
73,Pizza,Cheese Pizza,Spicy,Night,5
45,Pizza,Cheese Pizza,Low,Evening,2
12,Biryani,Mutton Biryani,Spicy,Afternoon,2
68,Veg Meals,Veg Meals,Spicy,Afternoon,3
34,Veg Meals,Veg Meals,Spicy,Afternoon,4
57,Veg Meals,Sambar Rice,Spicy,Afternoon,3
16,Breakfast,Idli,Spicy,Morning,5
72,Veg Meals,Curd Rice,Medium,Afternoon,5
34,Shawarma,Paneer Shawarma,Medium,Evening,4
15,Dessert,Ice Cream,Low,Evening,4
60,Dessert,Cake,Low,Evening,3
11,Shawarma,Chicken Shawarma,Low,Night,3
42,Pizza,Chicken Pizza,Spicy,Evening,2
63,Dessert,Cake,Low,Night,4
65,Breakfast,Pongal,Medium,Morning,5
15,Dessert,Ice Cream,Low,Evening,5
14,Pizza,Chicken Pizza,Medium,Evening,3
43,Dessert,Ice Cream,Low,Evening,4
58,Biryani,Mutton Biryani,Spicy,Night,2
10,Breakfast,Pongal,Low,Morning,4
25,Dessert,Brownie,Low,Night,4
24,Veg Meals,Sambar Rice,Low,Afternoon,4
30,Pizza,Chicken Pizza,Spicy,Night,2
70,Dessert,Ice Cream,Low,Evening,5
59,Breakfast,Poori,Medium,Morning,4
15,Shawarma,Chicken Shawarma,Medium,Evening,2
69,Veg Meals,Veg Meals,Medium,Afternoon,3
62,Pizza,Cheese Pizza,Medium,Evening,2
22,Breakfast,Dosa,Spicy,Morning,2
19,Shawarma,Chicken Shawarma,Medium,Evening,2
14,Breakfast,Vada,Medium,Morning,3
56,Breakfast,Poori,Spicy,Morning,3
21,Shawarma,Paneer Shawarma,Low,Night,3
43,Veg Meals,Sambar Rice,Low,Afternoon,2
33,Pizza,Chicken Pizza,Spicy,Evening,4
40,Veg Meals,Sambar Rice,Medium,Afternoon,2
60,Breakfast,Poori,Low,Morning,2
22,Dessert,Brownie,Low,Night,5
12,Pizza,Veg Pizza,Spicy,Evening,3
48,Pizza,Cheese Pizza,Spicy,Night,5
35,Shawarma,Chicken Shawarma,Medium,Night,4
12,Veg Meals,Sambar Rice,Spicy,Afternoon,2
70,Biryani,Chicken Biryani,Spicy,Night,4
34,Veg Meals,Veg Meals,Low,Afternoon,4
34,Veg Meals,Sambar Rice,Medium,Afternoon,5
46,Biryani,Veg Biryani,Medium,Night,5
20,Veg Meals,Veg Meals,Medium,Afternoon,5
44,Veg Meals,Sambar Rice,Spicy,Afternoon,2
35,Breakfast,Pongal,Medium,Morning,2
13,Biryani,Chicken Biryani,Medium,Night,4
64,Shawarma,Chicken Shawarma,Low,Night,3
67,Veg Meals,Veg Meals,Low,Afternoon,4
44,Biryani,Veg Biryani,Low,Night,5
33,Biryani,Veg Biryani,Spicy,Afternoon,4
15,Biryani,Chicken Biryani,Low,Night,4
59,Pizza,Veg Pizza,Medium,Evening,4
49,Dessert,Brownie,Low,Evening,5
12,Pizza,Chicken Pizza,Low,Night,4
52,Dessert,Cake,Low,Evening,5
50,Shawarma,Paneer Shawarma,Medium,Night,5
32,Shawarma,Paneer Shawarma,Low,Night,5
23,Breakfast,Pongal,Low,Morning,4
24,Breakfast,Poori,Low,Morning,4
58,Pizza,Veg Pizza,Medium,Night,5
57,Biryani,Chicken Biryani,Medium,Afternoon,2
21,Shawarma,Paneer Shawarma,Low,Evening,2
37,Veg Meals,Curd Rice,Spicy,Afternoon,4
36,Veg Meals,Veg Meals,Medium,Afternoon,2
72,Veg Meals,Veg Meals,Spicy,Afternoon,4
52,Breakfast,Idli,Spicy,Morning,2
30,Biryani,Mutton Biryani,Spicy,Night,5
72,Shawarma,Paneer Shawarma,Low,Night,2
