restaurant_id,restaurant_name,location_area,cuisine_type,price_range,avg_cost_for_two,ambience_type,overall_rating,popular_dishes,has_home_delivery,has_vegetarian_options,is_family_friendly,contact_number,address,opening_hours,years_in_business,total_reviews
1001,Haribhavanam,Gandhipuram,Kerala,$$,1713,Family-style,4.5,"Fish Curry, Kappa & Meen Curry",Yes,No,No,0422-230495,"617, Near Brookefields Mall, Gandhipuram, Coimbatore - 641013",11:00 AM to 10:00 PM,23,4514
1002,AB's Absolute Barbecues,Singanallur,Chinese,$,442,Casual,4.1,"Dumplings, Spring Rolls",Yes,Yes,No,0422-212676,"368, Main Road, Singanallur, Coimbatore - 641054",11:00 AM to 11:00 PM,26,405
1003,Cascade Cafe,Ukkadam,Andhra,$$,871,Casual,4.5,"Gutti Vankaya, Pulihora, Gongura Mutton, Pesarattu",Yes,Yes,No,0422-230512,"888, Main Road, Ukkadam, Coimbatore - 641022",10:00 AM to 11:00 PM,15,3038
1004,The Eatery Cafe,Peelamedu,South Indian,$$,967,Family-style,4.8,"Bisi Bele Bath, Vada",Yes,Yes,Yes,0422-228785,"333, Near Hope College, Peelamedu, Coimbatore - 641017",8:00 AM to 10:00 PM,26,2634
1005,Sree Gowri Shankar Sweet Shop,Gandhipuram,Chinese,$$,946,Casual,4.2,"Dumplings, Hot & Sour Soup, Schezwan Fried Rice",Yes,Yes,No,0422-276622,"920, Opposite Gandhipuram Bus Stand, Gandhipuram, Coimbatore - 641084",10:00 AM to 11:00 PM,8,1183
1006,Sree Annapoorna,Gandhipuram,Italian,$$,865,Casual,4.2,"Bruschetta, Garlic Bread",Yes,Yes,No,0422-272512,"697, Near Lakshmi Mills, Gandhipuram, Coimbatore - 641024",11:00 AM to 11:00 PM,25,2836
1007,KFC Kitchen,Saravanampatti,South Indian,$$,956,Casual,4.8,"Uttapam, Vada",No,Yes,Yes,0422-200074,"332, Near Kovai Medical Center, Saravanampatti, Coimbatore - 641072",7:00 AM to 10:00 PM,30,3023
1008,Haribhavanam Family Restaurant,Thudiyalur,Multi-Cuisine,$$$,2795,Traditional,4.7,"Thali, Dessert Platter",Yes,Yes,No,0422-286474,"487, Main Road, Thudiyalur, Coimbatore - 641080",8:00 AM to 11:00 PM,17,3516
1009,Barbeque Nation Bakery,Ramanathapuram,Arabian,$,361,Casual,4.0,"Kunafa, Hummus, Kebab, Mandi",No,No,Yes,0422-277128,"226, Main Road, Ramanathapuram, Coimbatore - 641010",7:00 AM to 12:00 AM,21,532
1010,Arya Bhavan Family Restaurant,Sitra,South Indian,$,778,Traditional,4.4,"Vada, Pongal, Rava Dosa",Yes,Yes,Yes,0422-253354,"195, Main Road, Sitra, Coimbatore - 641022",7:00 AM to 12:00 AM,14,2952
1011,The Eatery Mess,Singanallur,Chinese,$,398,Casual,4.0,"Hot & Sour Soup, Dumplings, Hakka Noodles, Manchurian",Yes,Yes,No,0422-232742,"896, Main Road, Singanallur, Coimbatore - 641019",10:00 AM to 12:00 AM,4,464
1012,Sree Annapoorna,Ukkadam,Kerala,$$$,2794,Family-style,4.2,"Malabar Parotta, Puttu Kadala",Yes,Yes,No,0422-200282,"400, Main Road, Ukkadam, Coimbatore - 641043",10:00 AM to 11:00 PM,14,4602
1013,Haribhavanam,Singanallur,Kerala,$$$$,3734,Casual,4.5,"Fish Curry, Kerala Sadya, Appam Stew, Beef Fry",Yes,Yes,Yes,0422-207455,"984, Main Road, Singanallur, Coimbatore - 641075",7:00 AM to 10:00 PM,3,4924
1014,Sree Gowri Shankar Family Restaurant,Vadavalli,South Indian,$$,1473,Family-style,3.4,"Idli Sambar, Filter Coffee",Yes,Yes,No,0422-293872,"322, Main Road, Vadavalli, Coimbatore - 641040",9:00 AM to 11:00 PM,5,2507
1015,Annapoorna Barbecue,Ramanathapuram,Chinese,$$,1318,Casual,3.5,"Manchurian, Hakka Noodles, Chilli Chicken, American Chopsuey",Yes,Yes,Yes,0422-248434,"292, Main Road, Ramanathapuram, Coimbatore - 641030",10:00 AM to 12:00 AM,23,2528
1016,Annapoorna Bakery,Kalapatti,Chettinad,$$$,2036,Traditional,4.2,"Karaikudi Mutton, Fish Fry",Yes,Yes,No,0422-227607,"735, Main Road, Kalapatti, Coimbatore - 641053",8:00 AM to 12:00 AM,21,2212
1017,Haribhavanam Cafe,RS Puram,Italian,$$$,3379,Casual,4.1,"Pizza Margherita, Carbonara, Lasagna",Yes,Yes,Yes,0422-292493,"575, Opposite PSG College, RS Puram, Coimbatore - 641011",7:00 AM to 10:00 PM,29,1271
1018,Dindigul Thalappakatti Grill,Vadavalli,Italian,$,760,Casual,4.3,"Tiramisu, Bruschetta, Pizza Margherita",Yes,Yes,Yes,0422-273385,"906, Main Road, Vadavalli, Coimbatore - 641062",11:00 AM to 12:00 AM,5,1989
1019,Dragon Gate Restaurant,Vilankurichi,Bakery & Cafe,$,381,Modern,3.8,"Tea, Donut, Croissant",No,Yes,Yes,0422-229154,"205, Main Road, Vilankurichi, Coimbatore - 641068",9:00 AM to 11:00 PM,27,1914
1020,Burger King Cafe,Saibaba Colony,South Indian,$$$$,6955,Family-style,3.8,"Rava Dosa, Filter Coffee, Bisi Bele Bath",Yes,Yes,Yes,0422-223405,"986, Near Lakshmi Mills, Saibaba Colony, Coimbatore - 641043",7:00 AM to 10:00 PM,20,3609
1021,Hotel Gowri Krishna Mess,Thudiyalur,North Indian,$,300,Family-style,4.8,"Biryani, Naan, Butter Chicken, Tandoori Chicken",Yes,Yes,Yes,0422-296605,"687, Main Road, Thudiyalur, Coimbatore - 641035",9:00 AM to 11:00 PM,3,2754
1022,Pizza Hut,Saibaba Colony,Chettinad,$$,1212,Family-style,4.1,"Kola Urundai, Pepper Chicken, Fish Fry",Yes,Yes,Yes,0422-249695,"767, Near Lakshmi Mills, Saibaba Colony, Coimbatore - 641032",11:00 AM to 12:00 AM,10,3376
1023,Anjappar,Gandhipuram,Italian,$$$,3183,Casual,4.5,"Tiramisu, Risotto, Bruschetta, Carbonara",Yes,Yes,Yes,0422-222241,"87, Near Brookefields Mall, Gandhipuram, Coimbatore - 641046",11:00 AM to 12:00 AM,21,2795
1024,Arya Bhavan,Gopalapuram,South Indian,$,323,Casual,3.6,"Pongal, Masala Dosa",Yes,Yes,No,0422-254321,"908, Main Road, Gopalapuram, Coimbatore - 641090",11:00 AM to 10:00 PM,23,3195
1025,Annapoorna Mess,RS Puram,Chinese,$$$,3225,Family-style,4.3,"Spring Rolls, Dumplings",No,Yes,Yes,0422-259829,"821, Near Race Course, RS Puram, Coimbatore - 641069",11:00 AM to 12:00 AM,20,2649
1026,Hotel Gowri Krishna Grill,Kovaipudur,Mexican,$$$,2330,Traditional,4.4,"Quesadilla, Burritos, Enchiladas, Guacamole",Yes,Yes,Yes,0422-263517,"642, Main Road, Kovaipudur, Coimbatore - 641040",9:00 AM to 11:00 PM,3,2390
1027,Geetha Canteen Bhavan,Peelamedu,South Indian,$,512,Family-style,3.7,"Pongal, Vada, Masala Dosa",Yes,Yes,No,0422-255069,"927, Opposite CIT College, Peelamedu, Coimbatore - 641084",7:00 AM to 12:00 AM,13,3957
1028,Dragon Gate Family Restaurant,Peelamedu,South Indian,$$,1198,Casual,4.4,"Filter Coffee, Kesari Bath, Masala Dosa",Yes,Yes,No,0422-261261,"638, Near Airport, Peelamedu, Coimbatore - 641078",7:00 AM to 11:00 PM,19,4673
1029,Kovai Biryani Center Kitchen,Gandhipuram,Kerala,$,467,Casual,4.1,"Beef Fry, Malabar Parotta, Puttu Kadala",Yes,Yes,Yes,0422-255255,"855, Opposite Gandhipuram Bus Stand, Gandhipuram, Coimbatore - 641020",10:00 AM to 10:00 PM,24,4468
1030,Sree Annapoorna,Gopalapuram,South Indian,$$$,1841,Family-style,4.3,"Masala Dosa, Bisi Bele Bath, Idli Sambar, Filter Coffee",Yes,Yes,No,0422-228569,"477, Main Road, Gopalapuram, Coimbatore - 641099",9:00 AM to 11:00 PM,6,988
1031,Coimbatore Palace Restaurant,RS Puram,Biryani,$$$$,3811,Family-style,4.3,"Hyderabadi Biryani, Egg Biryani, Ambur Biryani, Mutton Biryani",Yes,Yes,Yes,0422-239529,"615, Near DB Road, RS Puram, Coimbatore - 641025",11:00 AM to 10:00 PM,12,4414
1032,Saravana Bhavan Restaurant,Saravanampatti,Chinese,$$$,3101,Traditional,5.0,"Manchurian, Schezwan Fried Rice, Spring Rolls",Yes,Yes,No,0422-268386,"277, Near Kovai Medical Center, Saravanampatti, Coimbatore - 641088",11:00 AM to 11:00 PM,15,3618
1033,Domino's Cafe,Saibaba Colony,Fast Food,$$,1383,Casual,4.2,"Sandwich, Nuggets, Hot Dog",Yes,No,Yes,0422-223834,"218, Near Coimbatore Institute of Technology, Saibaba Colony, Coimbatore - 641055",9:00 AM to 11:00 PM,9,4933
1034,Haribhavanam,Peelamedu,Andhra,$,543,Family-style,3.8,"Royyala Iguru, Pesarattu, Gongura Mutton, Pulihora",Yes,Yes,No,0422-229045,"709, Opposite CIT College, Peelamedu, Coimbatore - 641041",9:00 AM to 12:00 AM,19,3073
1035,Aasai Hotel Sweet Shop,Ukkadam,Chinese,$,418,Casual,4.5,"Chilli Chicken, Spring Rolls, Dumplings",No,Yes,Yes,0422-299901,"707, Main Road, Ukkadam, Coimbatore - 641033",8:00 AM to 10:00 PM,24,4016
1036,Royal Darbar Bakery,Saibaba Colony,North Indian,$$$$,4978,Casual,3.9,"Chole Bhature, Paneer Butter Masala",No,Yes,No,0422-207146,"300, Near Lakshmi Mills, Saibaba Colony, Coimbatore - 641099",8:00 AM to 12:00 AM,28,4071
1037,A2B,Gandhipuram,South Indian,$$,1763,Traditional,4.4,"Masala Dosa, Uttapam",No,Yes,Yes,0422-275631,"703, Near Brookefields Mall, Gandhipuram, Coimbatore - 641016",8:00 AM to 10:00 PM,26,4660
1038,Buhari Hotel,Gandhipuram,Mexican,$$$,2722,Modern,3.7,"Guacamole, Enchiladas, Burritos, Quesadilla",Yes,Yes,Yes,0422-274531,"62, Near Brookefields Mall, Gandhipuram, Coimbatore - 641088",7:00 AM to 10:00 PM,21,1778
1039,Buhari Hotel,Gandhipuram,North Indian,$,652,Family-style,3.8,"Rogan Josh, Biryani",Yes,Yes,Yes,0422-292141,"73, Opposite Gandhipuram Bus Stand, Gandhipuram, Coimbatore - 641097",8:00 AM to 11:00 PM,26,4881
1040,Taste of Kerala Family Restaurant,Ramanathapuram,Kerala,$$,861,Casual,4.3,"Kappa & Meen Curry, Malabar Parotta, Appam Stew",Yes,Yes,Yes,0422-237828,"450, Main Road, Ramanathapuram, Coimbatore - 641025",10:00 AM to 12:00 AM,10,3347
1041,Geetha Canteen Hotel,Singanallur,Mexican,$$$,1987,Casual,4.7,"Nachos, Guacamole, Enchiladas, Tacos",Yes,Yes,Yes,0422-202719,"784, Main Road, Singanallur, Coimbatore - 641096",9:00 AM to 12:00 AM,2,1485
1042,Copper Chimney Grill,Saibaba Colony,Chinese,$$$,2636,Casual,4.5,"Manchurian, Schezwan Fried Rice, Spring Rolls",Yes,Yes,Yes,0422-290921,"296, Near Coimbatore Institute of Technology, Saibaba Colony, Coimbatore - 641094",10:00 AM to 12:00 AM,2,3775
1043,Barbeque Nation,RS Puram,South Indian,$$,992,Family-style,4.3,"Masala Dosa, Kesari Bath, Vada, Bisi Bele Bath",Yes,Yes,Yes,0422-206764,"274, Near Race Course, RS Puram, Coimbatore - 641080",8:00 AM to 11:00 PM,15,4020
1044,Domino's Kitchen,Chinniampalayam,South Indian,$,347,Casual,4.1,"Bisi Bele Bath, Filter Coffee",Yes,Yes,Yes,0422-284896,"853, Main Road, Chinniampalayam, Coimbatore - 641029",10:00 AM to 12:00 AM,10,4218
1045,Madurai Kumar Mess Family Restaurant,Saravanampatti,Andhra,$$,1743,Family-style,3.6,"Royyala Iguru, Gongura Mutton",Yes,Yes,No,0422-254387,"957, Near KMCH Hospital, Saravanampatti, Coimbatore - 641074",9:00 AM to 10:00 PM,10,2495
1046,Dindigul Thalappakatti Barbecue,Saibaba Colony,Bakery & Cafe,$$$,2459,Modern,4.1,"Cold Coffee, Tea, Donut",Yes,Yes,Yes,0422-253841,"326, Near PSG Tech, Saibaba Colony, Coimbatore - 641070",10:00 AM to 11:00 PM,22,1296
