user_id,age,occupation,food_preference,budget_range,location_area,time_of_day,mood_craving,occasion,health_preference,cuisine_type,dish_name,spice_level,price_category,ambience,restaurant_rating,user_rating
1000,31,business,non-vegetarian,premium,Kovaipudur,afternoon,comfort,casual,high-protein,North Indian,Butter Chicken,Low,$$$$,Cozy,4.2,4.5
1001,26,other,vegetarian,budget-friendly,Singanallur,evening,healthy,family,balanced,South Indian,Idli Sambar,High,$$,Family-style,3.9,3.7
1002,39,student,non-vegetarian,budget-friendly,Saravanampatti,morning,romantic,family,balanced,South Indian,Masala Dosa,Low,$$$,Casual,4.2,3.7
1003,25,professional,non-vegetarian,budget-friendly,Kovaipudur,evening,romantic,casual,regular,South Indian,Uttapam,Medium,$,Casual,4.4,4.2
1004,18,other,non-vegetarian,premium,Vadavalli,morning,quick,casual,balanced,North Indian,Butter Chicken,Medium,$$$,Casual,3.9,4.1
1005,36,student,non-vegetarian,budget-friendly,RS Puram,night,healthy,casual,regular,Street Food,Pani Puri,High,$$,Family-style,4.7,4.9
1006,21,service,non-vegetarian,mid-range,Vadavalli,morning,comfort,casual,low-carb,Italian,Pasta,Medium,$$$,Cozy,4.2,3.9
1007,27,business,vegan,mid-range,Kovaipudur,afternoon,romantic,casual,balanced,Bakery,Cookies,Medium,$,Modern,3.7,4.1
1008,35,student,non-vegetarian,mid-range,Peelamedu,afternoon,quick,casual,balanced,South Indian,Uttapam,Medium,$$,Romantic,4.3,4.3
1009,25,professional,vegetarian,mid-range,Gandhipuram,night,study,casual,balanced,North Indian,Paneer Butter Masala,High,$$,Cozy,3.8,3.7
1010,29,professional,non-vegetarian,mid-range,Saibaba Colony,afternoon,adventurous,casual,balanced,Chinese,Chilli Chicken,Medium,$,Traditional,3.8,3.6
1011,21,professional,non-vegetarian,budget-friendly,Peelamedu,midnight,study,casual,regular,North Indian,Naan,Low,$,Casual,4.9,5.0
1012,18,professional,non-vegetarian,budget-friendly,RS Puram,afternoon,quick,casual,regular,Chinese,Hakka Noodles,High,$,Romantic,4.9,5.0
1013,32,student,non-vegetarian,mid-range,Ukkadam,night,celebration,casual,balanced,Bakery,Puff,High,$$,Luxury,3.9,4.3
1014,20,other,vegetarian,budget-friendly,Gandhipuram,morning,romantic,solo,regular,South Indian,Vada,Medium,$$$,Family-style,4.9,4.2
1015,28,other,eggitarian,budget-friendly,RS Puram,night,quick,family,balanced,North Indian,Butter Chicken,High,$$,Casual,4.5,4.8
1016,29,student,vegetarian,mid-range,Thudiyalur,morning,adventurous,casual,high-protein,Bakery,Cookies,Low,$$,Luxury,4.6,4.6
1017,34,student,non-vegetarian,mid-range,Ukkadam,night,celebration,family,high-protein,South Indian,Idli Sambar,High,$$,Family-style,4.4,4.9
1018,35,professional,non-vegetarian,mid-range,Sitra,evening,comfort,friends,balanced,Chinese,Hakka Noodles,Medium,$$$,Cozy,4.3,3.9
1019,26,service,non-vegetarian,budget-friendly,Peelamedu,night,study,date-night,regular,Andhra,Pulihora,High,$,Romantic,4.1,4.5
1020,29,other,non-vegetarian,mid-range,RS Puram,morning,study,family,regular,South Indian,Idli Sambar,High,$$,Family-style,3.8,4.3
1021,42,student,non-vegetarian,budget-friendly,RS Puram,evening,quick,casual,balanced,Italian,Garlic Bread,Low,$,Modern,4.1,4.1
1022,18,professional,vegetarian,mid-range,Kovaipudur,midnight,study,friends,regular,South Indian,Pongal,Medium,$$$,Traditional,5.0,4.8
1023,25,professional,vegan,mid-range,Ukkadam,evening,adventurous,casual,balanced,Chinese,Manchurian,Medium,$$,Cozy,3.5,3.7
1024,22,professional,vegetarian,budget-friendly,Singanallur,midnight,romantic,friends,low-carb,North Indian,Butter Chicken,Low,$,Family-style,4.6,4.8
1025,18,business,non-vegetarian,budget-friendly,Kovaipudur,evening,healthy,family,low-carb,North Indian,Chole Bhature,High,$,Traditional,4.0,3.9
1026,25,other,vegetarian,mid-range,Sitra,evening,healthy,friends,balanced,Chinese,Manchurian,Medium,$,Modern,4.1,4.1
1027,34,professional,non-vegetarian,mid-range,Saibaba Colony,night,adventurous,solo,regular,Italian,Pasta,Medium,$$,Cozy,4.4,4.5
1028,31,service,non-vegetarian,premium,Ukkadam,morning,study,casual,balanced,South Indian,Filter Coffee,High,$$$,Luxury,4.8,5.0
1029,18,professional,non-vegetarian,mid-range,Gandhipuram,afternoon,healthy,date-night,low-carb,North Indian,Butter Chicken,High,$,Romantic,4.3,4.6
1030,41,professional,non-vegetarian,budget-friendly,Ukkadam,afternoon,quick,family,regular,Chinese,Chilli Chicken,Medium,$$,Traditional,3.6,3.4
1031,18,professional,non-vegetarian,mid-range,RS Puram,afternoon,healthy,casual,balanced,Andhra,Pulihora,High,$$,Traditional,4.3,4.6
1032,18,student,vegetarian,mid-range,Kovaipudur,evening,quick,casual,regular,Street Food,Egg Puffs,High,$,Cozy,3.0,2.8
1033,27,professional,non-vegetarian,premium,Avinashi Road,afternoon,healthy,casual,balanced,Street Food,Bhel Puri,Low,$$,Traditional,4.4,4.3
1034,24,student,eggitarian,budget-friendly,Peelamedu,afternoon,romantic,friends,regular,Cafe,Tea,Medium,$$,Family-style,4.4,3.9
1035,25,business,vegetarian,premium,Singanallur,morning,romantic,date-night,balanced,Chinese,Spring Rolls,Low,$$,Romantic,4.8,5.0
1036,31,professional,vegetarian,premium,Saibaba Colony,afternoon,celebration,birthday,balanced,Andhra,Royyala Iguru,Low,$$$$,Romantic,4.3,4.8
1037,28,student,non-vegetarian,premium,Peelamedu,evening,healthy,family,low-carb,Chinese,Spring Rolls,Medium,$$$,Casual,5.0,5.0
1038,21,professional,non-vegetarian,mid-range,Avinashi Road,morning,comfort,birthday,regular,Bakery,Chocolate Cake,Low,$$,Luxury,4.1,4.7
1039,18,student,vegetarian,budget-friendly,RS Puram,night,healthy,date-night,high-protein,Kerala,Puttu Kadala,Medium,$$,Luxury,4.8,4.7
1040,18,other,vegan,budget-friendly,Kovaipudur,morning,quick,casual,balanced,South Indian,Uttapam,High,$$,Casual,4.8,4.8
1041,28,business,eggitarian,mid-range,Saibaba Colony,afternoon,quick,casual,balanced,South Indian,Uttapam,Low,$$,Modern,4.6,4.5
1042,18,student,non-vegetarian,budget-friendly,Thudiyalur,evening,adventurous,family,regular,Chinese,Spring Rolls,Medium,$$,Family-style,4.8,5.0
1043,38,business,vegetarian,mid-range,Gandhipuram,evening,romantic,anniversary,high-protein,Italian,Pizza,High,$$,Cozy,4.2,4.7
1044,40,professional,non-vegetarian,premium,Thudiyalur,night,study,casual,regular,Chinese,Chilli Chicken,Medium,$$$,Luxury,4.3,4.6
1045,31,student,non-vegetarian,budget-friendly,Kovaipudur,morning,adventurous,casual,balanced,South Indian,Masala Dosa,Medium,$$,Romantic,4.5,4.3
1046,35,professional,eggitarian,mid-range,Saibaba Colony,afternoon,healthy,friends,balanced,North Indian,Biryani,Low,$$,Casual,4.2,3.9
1047,32,service,vegetarian,mid-range,Sitra,evening,romantic,casual,low-carb,Italian,Garlic Bread,High,$$,Family-style,4.1,4.1
